Download from NIST 24/11/2018 (https://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl?ele=&ascii=ascii&isotype=all)
38  Sr  84   83.9134191     0.0056
38  Sr  86   85.9092606     0.0986
38  Sr  87   86.9088775     0.0700
38  Sr  88   87.9056125     0.8258
39  Y   89   88.9058403     1.    
40  Zr  90   89.9046977     0.5145
40  Zr  91   90.9056396     0.1122
40  Zr  92   91.9050347     0.1715
40  Zr  94   93.9063108     0.1738
40  Zr  96   95.9082714     0.0280
41  Nb  93   92.9063730     1.    
42  Mo  92   91.90680796    0.1453
42  Mo  94   93.90508490    0.0915
42  Mo  95   94.90583877    0.1584
42  Mo  96   95.90467612    0.1667
42  Mo  97   96.90601812    0.0960
42  Mo  98   97.90540482    0.2439
42  Mo  100  99.9074718     0.0982
43  Tc  97   96.9063667     0.      
43  Tc  98   97.9072124     0.           
43  Tc  99   98.9062508     0.           
44  Ru  96   95.90759025    0.0554
44  Ru  98   97.9052868     0.0187
44  Ru  99   98.9059341     0.1276
44  Ru  100  99.9042143     0.1260
44  Ru  101  100.9055769    0.1706
44  Ru  102  101.9043441    0.3155
44  Ru  104  103.9054275    0.1862
45  Rh  103  102.9054980    1.     
46  Pd  102  101.9056022    0.0102
46  Pd  104  103.9040305    0.1114
46  Pd  105  104.9050796    0.2233
46  Pd  106  105.9034804    0.2733
46  Pd  108  107.9038916    0.2646
46  Pd  110  109.90517220   0.1172
47  Ag  107  106.9050916    0.51839
47  Ag  109  108.9047553    0.48161
48  Cd  106  105.9064599    0.0125
48  Cd  108  107.9041834    0.0089
48  Cd  110  109.90300661   0.1249
48  Cd  111  110.90418287   0.1280
48  Cd  112  111.90276287   0.2413
48  Cd  113  112.90440813   0.1222
48  Cd  114  113.90336509   0.2873
48  Cd  116  115.90476315   0.0749
49  In  113  112.90406184   0.0429
49  In  115  114.903878776  0.9571
50  Sn  112  111.90482387   0.0097
50  Sn  114  113.9027827    0.0066
50  Sn  115  114.903344699  0.0034
50  Sn  116  115.90174280   0.1454
50  Sn  117  116.90295398   0.0768
50  Sn  118  117.90160657   0.2422
50  Sn  119  118.90331117   0.0859
50  Sn  120  119.90220163   0.3258
50  Sn  122  121.9034438    0.0463
50  Sn  124  123.9052766    0.0579
51  Sb  121  120.9038120    0.5721
51  Sb  123  122.9042132    0.4279
52  Te  120  119.9040593    0.0009
52  Te  122  121.9030435    0.0255
52  Te  123  122.9042698    0.0089
52  Te  124  123.9028171    0.0474
52  Te  125  124.9044299    0.0707
52  Te  126  125.9033109    0.1884
52  Te  128  127.90446128   0.3174
52  Te  130  129.906222748  0.3408
53  I   127  126.9044719    1.
54  Xe  124  123.9058920    0.000952
54  Xe  126  125.9042983    0.000890
54  Xe  128  127.9035310    0.019102
54  Xe  129  128.9047808611 0.264006
54  Xe  130  129.903509349  0.040710
54  Xe  131  130.90508406   0.212324
54  Xe  132  131.9041550856 0.269086
54  Xe  134  133.90539466   0.104357
54  Xe  136  135.907214484  0.088573
55  Cs  133  132.9054519610 1.
56  Ba  130  129.9063207    0.00106
56  Ba  132  131.9050611    0.00101
56  Ba  134  133.90450818   0.02417
56  Ba  135  134.90568838   0.06592
56  Ba  136  135.90457573   0.07854
56  Ba  137  136.90582714   0.11232
56  Ba  138  137.90524700   0.71698
57  La  138  137.9071149    0.0008881
57  La  139  138.9063563    0.9991119
58  Ce  136  135.90712921   0.00185
58  Ce  138  137.905991     0.00251
58  Ce  140  139.9054431    0.88450
58  Ce  142  141.9092504    0.11114
59  Pr  141  140.9076576    1.     
60  Nd  142  141.9077290    0.27152
60  Nd  143  142.9098200    0.12174
60  Nd  144  143.9100930    0.23798
60  Nd  145  144.9125793    0.08293
60  Nd  146  145.9131226    0.17189
60  Nd  148  147.9168993    0.05756
60  Nd  150  149.9209022    0.05638
61  Pm  145  144.9127559    0.    
61  Pm  147  146.9151450    0.    
62  Sm  144  143.9120065    0.0307
62  Sm  147  146.9149044    0.1499
62  Sm  148  147.9148292    0.1124
62  Sm  149  148.9171921    0.1382
62  Sm  150  149.9172829    0.0738
62  Sm  152  151.9197397    0.2675
62  Sm  154  153.9222169    0.2275
63  Eu  151  150.9198578    0.4781
63  Eu  153  152.9212380    0.5219
64  Gd  152  151.9197995    0.0020
64  Gd  154  153.9208741    0.0218
64  Gd  155  154.9226305    0.1480
64  Gd  156  155.9221312    0.2047
64  Gd  157  156.9239686    0.1565
64  Gd  158  157.9241123    0.2484
64  Gd  160  159.9270624    0.2186
65  Tb  159  158.9253547    1.    
66  Dy  156  155.9242847    0.00056
66  Dy  158  157.9244159    0.00095
66  Dy  160  159.9252046    0.02329
66  Dy  161  160.9269405    0.18889
66  Dy  162  161.9268056    0.25475
66  Dy  163  162.9287383    0.24896
66  Dy  164  163.9291819    0.28260
67  Ho  165  164.9303288    1.     
68  Er  162  161.9287884    0.00139
68  Er  164  163.9292088    0.01601
68  Er  166  165.9302995    0.33503
68  Er  167  166.9320546    0.22869
68  Er  168  167.9323767    0.26978
68  Er  170  169.9354702    0.14910
69  Tm  169  168.9342179    1.     
70  Yb  168  167.9338896    0.00123
70  Yb  170  169.9347664    0.02982
70  Yb  171  170.9363302    0.1409
70  Yb  172  171.9363859    0.2168
70  Yb  173  172.9382151    0.16103
70  Yb  174  173.9388664    0.32026
70  Yb  176  175.9425764    0.12996
71  Lu  175  174.9407752    0.97401
71  Lu  176  175.9426897    0.02599
72  Hf  174  173.9400461    0.0016
72  Hf  176  175.9414076    0.0526
72  Hf  177  176.9432277    0.1860
72  Hf  178  177.9437058    0.2728
72  Hf  179  178.9458232    0.1362
72  Hf  180  179.9465570    0.3508
73  Ta  180  179.9474648    0.0001201
73  Ta  181  180.9479958    0.9998799
74  W   180  179.9467108    0.0012
74  W   182  181.94820394   0.2650
74  W   183  182.95022275   0.1431
74  W   184  183.95093092   0.3064
74  W   186  185.9543628    0.2843
75  Re  185  184.9529545    0.3740
75  Re  187  186.9557501    0.6260
76  Os  184  183.9524885    0.0002
76  Os  186  185.9538350    0.0159
76  Os  187  186.9557474    0.0196
76  Os  188  187.9558352    0.1324
76  Os  189  188.9581442    0.1615
76  Os  190  189.9584437    0.2626
76  Os  192  191.9614770    0.4078
77  Ir  191  190.9605893    0.373
77  Ir  193  192.9629216    0.627
78  Pt  190  189.9599297    0.00012
78  Pt  192  191.9610387    0.00782
78  Pt  194  193.9626809    0.3286
78  Pt  195  194.9647917    0.3378
78  Pt  196  195.96495209   0.2521
78  Pt  198  197.9678949    0.07356
79  Au  197  196.96656879   1.
80  Hg  196  195.9658326    0.0015
80  Hg  198  197.96676860   0.0997
80  Hg  199  198.96828064   0.1687
80  Hg  200  199.96832659   0.2310
80  Hg  201  200.97030284   0.1318
80  Hg  202  201.97064340   0.2986
80  Hg  204  203.97349398   0.0687
81  Tl  203  202.9723446    0.2952
81  Tl  205  204.9744278    0.7048
82  Pb  204  203.9730440    0.014
82  Pb  206  205.9744657    0.241
82  Pb  207  206.9758973    0.221
82  Pb  208  207.9766525    0.524
83  Bi  209  208.9803991    1.
84  Po  209  208.9824308    0.   
84  Po  210  209.9828741    0.   
85  At  210  209.9871479    0.   
85  At  211  210.9874966    0.   
86  Rn  211  210.9906011    0.   
86  Rn  220  220.0113941    0.   
86  Rn  222  222.0175782    0.   
87  Fr  223  223.0197360    0.   
88  Ra  223  223.0185023    0.   
88  Ra  224  224.0202120    0.   
88  Ra  226  226.0254103    0.   
88  Ra  228  228.0310707    0.   
89  Ac  227  227.0277523    0.   
90  Th  230  230.0331341    0.   
90  Th  232  232.0380558    1.   
91  Pa  231  231.0358842    1.   
92  U   233  233.0396355    0.   
92  U   234  234.0409523    0.000054
92  U   235  235.0439301    0.007204
92  U   236  236.0455682    0.      
92  U   238  238.0507884    0.992742
93  Np  236  236.046570     0.      
93  Np  237  237.0481736    0.      
94  Pu  238  238.0495601    0.      
94  Pu  239  239.0521636    0.          
94  Pu  240  240.0538138    0.          
94  Pu  241  241.0568517    0.          
94  Pu  242  242.0587428    0.          
94  Pu  244  244.0642053    0.          
95  Am  241  241.0568293    0.                         
95  Am  243  243.0613813    0.          
96  Cm  243  243.0613893    0.                         
96  Cm  244  244.0627528    0.          
96  Cm  245  245.0654915    0.          
96  Cm  246  246.0672238    0.           
96  Cm  247  247.0703541    0.          
96  Cm  248  248.0723499    0.          
97  Bk  247  247.0703073    0.                         
97  Bk  249  249.0749877    0.          
98  Cf  249  249.0748539    0.                         
98  Cf  250  250.0764062    0.          
98  Cf  251  251.0795886    0.          
98  Cf  252  252.0816272    0.          
99  Es  252  252.082980     0.                         
100 Fm  257  257.0951061    0.                         
101 Md  258  258.0984315    0.                         
101 Md  260  260.10365     0.
102 No  259  259.10103     0.
103 Lr  262  262.10961     0.
104 Rf  267  267.12179     0.
105 Db  268  268.12567     0.
106 Sg  271  271.13393     0.
107 Bh  272  272.13826     0.
108 Hs  270  270.13429     0.
109 Mt  276  276.15159     0.
110 Ds  281  281.16451     0.
111 Rg  280  280.16514     0.
112 Cn  285  285.17712     0.
113 Nh  284  284.17873     0.
114 Fl  289  289.19042     0.
115 Mc  288  288.19274     0.
116 Lv  293  293.20449     0.
117 Ts  292  292.20746     0.
118 Og  294  294.21392     0.
